actor_id,film_id
1,1
1,2053
1,6789
1,519
1,406
1,1181
1,286
1,1313
1,2466
1,1572
1,5884
1,2602
1,2219
1,3373
1,7728
1,562
1,308
1,1076
1,5947
1,3388
1,4801
1,6599
1,713
1,78
1,82
1,4434
1,4181
1,987
1,1117
1,477
1,3552
1,4706
1,365
1,366
1,6131
1,2165
1,3324
2,1
2,7906
2,67
2,3971
2,357
2,9057
2,71
2,1485
3,1
3,7431
4,1
4,5009
4,9013
5,8264
5,2
5,8116
5,2018
6,2
6,314
7,2
7,9186
7,2216
7,9328
7,6805
7,7452
8,2
9,3
10,3
10,2143
11,3
12,17
12,1875
12,3
12,4571
13,896
13,4
13,263
13,146
13,1812
13,2079
13,5279
13,1835
13,5038
13,2097
13,691
13,436
13,60
13,3009
13,1989
13,329
13,5321
13,338
13,467
13,472
13,4059
13,354
13,5348
13,3185
13,242
13,2678
14,4
14,2565
14,4228
14,657
14,5778
14,8087
14,1946
14,668
14,286
14,34
14,1317
14,1575
14,2472
14,2860
14,302
14,6318
14,9011
14,1334
14,4407
14,6456
14,3641
14,2105
14,5051
14,5689
14,5441
14,2513
14,9170
14,350
14,9182
14,742
14,6764
14,6134
15,576
15,1058
15,2787
15,4
15,549
15,5031
15,682
15,7838
15,237
15,3247
15,7006
15,2066
15,2037
15,822
15,475
15,30
16,49
16,5074
16,4
16,1207
17,3492
17,5
17,11
17,45
17,493
17,2741
17,8569
17,220
18,5
18,4719
19,4322
19,5
19,5704
19,557
19,206
19,8206
19,945
19,6867
19,8695
19,920
19,3065
20,5
21,614
21,6
21,9066
21,3628
21,558
21,696
21,6969
22,4356
22,6
22,7307
22,558
22,2930
22,6514
22,696
23,6
23,3047
23,3623
23,8843
23,7246
23,3473
23,756
23,789
23,2551
23,1530
23,27
23,893
23,5215
24,1514
24,6
25,6
26,8192
26,7297
26,900
26,1924
26,6660
26,7
26,392
26,7943
26,8325
26,6158
26,1046
26,2713
26,674
26,547
26,2861
26,5677
26,819
26,1593
26,2749
26,6850
26,579
26,6339
26,2648
26,472
26,1498
26,2905
26,1760
26,8032
26,6246
26,4348
27,4338
27,5931
27,7
28,2598
28,423
28,7
28,110
28,2013
29,5155
29,2277
29,7
29,2189
29,1819
30,8
30,8277
30,1111
30,63
31,4768
31,8
31,9
31,3338
31,136
31,7176
31,1688
31,5309
32,8
32,41
32,185
32,884
33,8
33,1207
33,15
34,9
34,75
34,3659
34,6413
34,1550
34,214
34,9398
34,57
34,1786
34,3803
34,7519
35,3520
35,9
35,9328
35,8849
35,4853
35,5590
35,3735
35,9528
36,9
37,4768
37,2274
37,902
37,10
37,42
37,1066
37,1228
37,1546
37,751
37,5227
37,1169
37,6701
37,8371
37,1685
37,3158
37,1438
37,1919
38,8385
38,4578
38,10
38,6730
38,9260
38,249
39,1953
39,2210
39,4616
39,10
39,5387
39,9619
39,5238
39,87
39,6555
39,7679
40,258
40,2274
40,10
40,2386
40,4915
40,1492
40,1622
40,9142
41,99
41,11
41,1099
41,45
41,2866
41,2741
41,4312
41,442
41,316
42,737
42,1575
42,11
42,1771
42,45
42,2893
42,8912
42,2674
42,7858
42,2808
42,5210
42,1245
43,3716
43,8452
43,774
43,11
43,8588
43,6547
43,8731
43,9778
43,2996
43,7224
43,1339
43,9666
43,580
43,1496
43,476
43,9181
43,5093
43,999
43,5480
43,6899
43,244
43,7541
44,6912
44,3428
44,326
44,2246
44,6120
44,523
44,12
44,205
44,557
44,335
44,1557
44,863
44,6460
44,191
45,386
45,12
45,5151
45,1700
45,3620
45,3879
45,2472
45,2554
45,3002
45,2893
45,336
45,1240
45,985
45,474
45,223
45,2415
45,5237
45,507
45,1018
45,1275
45,2301
45,1023
46,12
47,12
48,6956
48,13
48,9462
49,4313
49,8668
49,13
49,702
50,521
50,3994
50,13
50,8223
51,13
52,5122
52,1804
52,8077
52,14
52,1948
52,1950
52,159
52,9646
52,7856
52,8888
52,1978
52,6978
52,835
52,1478
52,5194
52,1101
52,981
52,2780
52,4583
52,5482
52,619
52,113
52,1137
52,3314
52,6649
52,9467
52,9085
53,3048
53,3307
53,14
53,113
53,7923
54,322
54,8866
54,7241
54,14
54,113
54,4508
55,1088
55,5257
55,14
55,113
55,8369
55,3963
56,15
57,6661
57,264
57,9227
57,15
57,4371
57,6676
57,6695
57,1197
57,4911
57,6063
57,5425
57,3000
57,2301
57,1980
57,1856
57,6464
57,1476
57,6212
57,6996
57,1634
57,3939
57,2276
57,2021
57,8695
57,9195
57,8044
57,2030
57,6007
57,3453
58,1984
58,3876
58,4615
58,2793
58,3017
58,15
58,4472
59,9600
59,8963
59,7693
59,16
59,4242
59,5398
59,4248
59,665
59,1437
59,34
59,3370
59,1071
59,560
59,3378
59,3001
59,7867
59,6848
59,1345
59,843
59,976
59,595
59,8150
59,985
59,1114
59,3929
59,223
59,5090
59,8546
59,2405
59,2923
59,1774
59,4975
59,8056
59,507
59,4732
60,9216
60,16
60,3857
60,6936
60,9753
60,8603
60,3490
60,8612
60,1064
60,5419
60,7733
60,828
60,5311
60,5575
60,4552
60,7240
60,4566
60,3287
60,8790
60,4826
60,6235
60,1379
60,7909
60,358
60,1515
60,2798
60,252
60,7677
61,3712
61,2178
61,1510
61,1757
61,5037
61,783
61,16
61,529
61,1330
61,1784
61,3960
61,1560
61,3963
61,1309
61,1758
61,1311
62,9090
62,3334
62,5254
62,7822
62,16
62,3989
62,8990
62,2980
62,6578
62,8242
62,6329
62,8137
62,714
62,8270
62,2516
62,3797
62,7517
62,7133
62,7006
62,8929
62,354
62,2659
62,6756
62,7921
63,4195
63,3372
63,17
63,1970
63,346
63,9435
63,607
64,17
64,1741
64,1663
65,2145
65,4257
65,517
65,710
65,7144
65,1741
65,17
65,6547
65,7993
66,18
67,2304
67,3712
67,2438
67,6283
67,1422
67,18
67,150
67,22
67,2330
67,1306
67,1054
67,3488
67,3874
67,3107
67,5156
67,2855
67,297
67,174
67,4400
67,5680
67,5042
67,2227
67,2612
67,4919
67,7034
67,4803
67,1732
67,4174
67,2769
67,3281
67,6998
67,600
67,2393
67,1245
67,5476
67,1127
67,3560
67,1513
67,362
67,4346
67,3453
68,7130
68,8717
68,302
68,657
68,18
68,4915
68,2068
68,3412
68,9182
68,9235
68,3578
68,1310
69,4226
69,18
69,415
70,69
70,1294
70,947
70,19
70,1880
70,6265
70,6558
71,3972
71,5510
71,2703
71,19
71,3734
71,1178
71,417
71,1571
71,2342
71,1453
71,4144
71,693
71,3128
71,6907
71,2374
71,6345
71,5582
71,977
71,4704
71,1377
71,8546
71,500
71,4987
72,7457
72,6755
72,6308
72,1188
72,8012
72,7054
72,4945
72,19
72,7671
73,4353
73,3723
73,4114
73,19
73,7188
73,1558
73,2328
73,2726
73,167
73,6954
73,5164
73,3503
73,1719
73,1336
73,313
73,8763
73,6339
73,217
73,4444
73,1761
73,6511
73,503
73,2173
74,20
75,548
75,4230
75,2443
75,8432
75,20
75,7098
76,20
77,20
78,4713
78,20
79,643
79,21
80,21
81,21
82,21
83,2945
83,4998
83,656
83,2064
83,3220
83,22
83,6557
83,543
83,297
83,3245
83,562
83,2739
83,310
83,5434
83,315
83,195
83,324
83,4297
83,7374
83,3284
83,854
83,5975
83,3292
83,349
83,3677
83,2911
83,490
83,493
83,2808
84,1293
84,3419
84,237
84,22
85,2304
85,174
85,2383
85,3667
85,1108
85,150
85,22
86,33
86,1794
86,1411
86,36
86,6629
86,7418
86,8554
86,2828
