id,name,year
1,The Idea of You,2023
2,Kingdom of the Planet of the Apes,2023
3,Unfrosted,2023
4,The Fall Guy,2023
5,Challengers,2023
6,Abigail,2023
7,Civil War,2023
8,Twisters,2023
9,Anyone But You,2023
10,The Ministry of Ungentlemanly Warfare,2023
11,Dune: Part Two,2023
12,Furiosa: A Mad Max Saga,2023
13,Gojira -1.0,2023
14,Ghostbusters: Frozen Empire,2023
15,Love Lies Bleeding,2023
16,The Judge,2023
17,Mother of the Bride,2023
18,IF,2023
19,Megalopolis,2023
20,Late Night with the Devil,2023
21,Laapataa Ladies,2023
22,Deadpool & Wolverine,2023
23,War for the Planet of the Apes,2023
24,Monkey Man,2023
25,Shaitaan,2023
26,Tarot,2023
27,Godzilla x Kong: The New Empire,2023
28,Poor Things,2023
29,Arcadian,2023
30,Bullet Train,2023
31,Star Wars: Episode I - The Phantom Menace,2023
32,Turtles All the Way Down,2023
33,Rise of the Planet of the Apes,2023
34,Oppenheimer,2023
35,Planet of the Apes,2023
36,Dawn of the Planet of the Apes,2023
37,The Iron Claw,2023
38,Back to Black,2023
39,The Beekeeper,2023
40,Road House,2023
41,Superman,2023
42,Argylle,2023
43,The Roast of Tom Brady,2023
44,Miller's Girl,2023
45,Dune,2023
46,Barbarian,2023
47,The Holdovers,2023
48,Mad Max: Fury Road,2023
49,The Garfield Movie,2023
50,Rebel Moon - Part Two: The Scargiver,2023
51,The Gentlemen,2023
52,The Crow,2023
53,Kung Fu Panda 4,2023
54,The Zone of Interest,2023
55,Despicable Me 4,2023
56,The Godfather,2023
57,Immaculate,2023
58,Planet of the Apes,2023
59,Pamyo,2023
60,Barbie,2023
61,Titanic,2023
62,In the Land of Saints & Sinners,2023
63,Where the Crawdads Sing,2023
64,In a Violent Nature,2023
65,Unsung Hero,2023
66,Rebel Moon - Part One: A Child of Fire,2023
67,Purple Hearts,2023
68,A Quiet Place: Day One,2023
69,Arthur the King,2023
70,X,2023
71,"Red, White & Royal Blue",2023
72,The Shawshank Redemption,2023
73,Boy Kills World,2023
74,Twister,2023
75,Madame Web,2023
76,The Strangers: Chapter 1,2023
77,Anatomie d'une chute,2023
78,Interstellar,2023
79,Star Wars,2023
80,Saltburn,2023
81,Once Upon a Time in... Hollywood,2023
82,Dark Waters,2023
83,Land of Bad,2023
84,Wish,2023
85,The Equalizer 3,2023
86,Force of Nature: The Dry 2,2023
87,Chief of Station,2023
88,New Life,2023
89,Perfect Days,2023
90,The Lord of the Rings: The Fellowship of the Ring,2023
91,Love,2023
92,Top Gun: Maverick,2023
93,All of Us Strangers,2023
94,I Saw the TV Glow,2023
95,Killers of the Flower Moon,2023
96,The First Omen,2023
97,Gladiator,2023
98,Vermines,2023
99,Wonka,2023
100,Damsel,2023
101,The Equalizer,2002
102,Mufasa: The Lion King,2002
103,The Lord of the Rings: The War of the Rohirrim,2002
104,Pulp Fiction,2002
105,The Peanut Butter Falcon,2002
106,Inception,2002
107,The Dark Knight,2002
108,Migration,2002
109,Harry Potter and the Sorcerer's Stone,2002
110,Alien: Romulus,2002
111,The Talented Mr. Ripley,2002
112,The Black Phone,2002
113,Ghostbusters: Afterlife,2002
114,Ghostbusters,2002
115,Leave the World Behind,2002
116,Grease,2002
117,The Lord of the Rings: The Return of the King,2002
118,The Great Wall,2002
119,The Last Stop in Yuma County,2002
120,Prom Dates,2002
121,Something in the Water,2002
122,No Hard Feelings,2002
123,The Hunger Games: The Ballad of Songbirds & Snakes,2002
124,Manjummel Boys,2002
125,Blended,2002
126,Schindler's List,2002
127,The Fantastic Four,2002
128,Old,2002
129,The Mummy,2002
130,The Matrix,2002
131,Forrest Gump,2002
132,Poolman,2002
133,One More Shot,2002
134,Star Wars: Episode II - Attack of the Clones,2002
135,The Bikeriders,2002
136,Hit Man,2002
137,Kinds of Kindness,2002
138,The Wolf of Wall Street,2002
139,Starship Troopers,2002
140,Sleeping Dogs,2002
141,Bottoms,2002
142,Inside Out 2,2002
143,Troy,2002
144,The Batman,2002
145,Borderlands,2002
146,Blade Runner 2049,2002
147,Talk to Me,2002
148,Dune,2002
149,Road House,2002
150,Deadpool,2002
151,The Hunger Games,2006
152,Dream Scenario,2006
153,Alien,2006
154,American Fiction,2006
155,Humane,2006
156,Mad Max,2006
157,Gladiator 2,2006
158,12th Fail,2006
159,The 40 Year Old Virgin,2006
160,Kingdom of Heaven,2006
161,Fight Club,2006
162,It Ends with Us,2006
163,The Green Mile,2006
164,The Crow,2006
165,Eileen,2006
166,Mean Girls,2006
167,Star Wars: Episode IX - The Rise of Skywalker,2006
168,Mission: Impossible - Dead Reckoning Part One,2006
169,Cabrini,2006
170,Madgaon Express,2006
171,Mission: Impossible,2006
172,Mars Express,2006
173,Wicked Little Letters,2006
174,Deadpool 2,2006
175,Sixteen Candles,2006
176,Article 370,2006
177,Past Lives,2006
178,Animal,2006
179,Inglourious Basterds,2006
180,Star Wars: Episode III - Revenge of the Sith,2006
181,Star Wars: Episode VI - Return of the Jedi,2006
182,Ricky Stanicky,2006
183,Star Wars: Episode V - The Empire Strikes Back,2006
184,Idiocracy,2006
185,Pearl,2006
186,Gisaengchung,2006
187,Bad Boys: Ride or Die,2006
188,John Wick: Chapter 4,2006
189,Young Woman and the Sea,2006
190,The Image of You,2006
191,Split,2006
192,Founders Day,2006
193,Napoleon,2006
194,Everything Everywhere All at Once,2006
195,Van Helsing,2006
196,The Lord of the Rings: The Two Towers,2006
197,The Silence of the Lambs,2006
198,Midsommar,2006
199,Spider-Man: Across the Spider-Verse,2006
200,Aquaman and the Lost Kingdom,2006
201,Triangle of Sadness,1995
202,Rogue One,1995
203,American Beauty,1995
204,Star Wars: Episode VII - The Force Awakens,1995
205,Glass,1995
206,La chimera,1995
207,Good Will Hunting,1995
208,Fifty Shades of Grey,1995
209,Lisa Frankenstein,1995
210,Bob Marley: One Love,1995
211,The Long Game,1995
212,10 Things I Hate About You,1995
213,The Goonies,1995
214,The Voyeurs,1995
215,Jurassic World Dominion,1995
216,Sonic the Hedgehog 3,1995
217,The Dead Don't Die,1995
218,Joker,1995
219,Se7en,1995
220,Spider-Man: No Way Home,1995
221,The Outsiders,1995
222,Promising Young Woman,1995
223,Avengers: Endgame,1995
224,Not Another Church Movie,1995
225,Mad Max 2,1995
226,The Boys in the Boat,1995
227,The Land That Time Forgot,1995
228,Aliens,1995
229,Jurassic Park,1995
230,Gone Girl,1995
231,Watchmen,1995
232,Joker: Folie à Deux,1995
233,One Life,1995
234,Heat,1995
235,The Matrix Resurrections,1995
236,Masterminds,1995
237,Nosferatu,1995
238,Le Cinquième Élément,1995
239,Saving Private Ryan,1995
240,Goodfellas,1995
241,Trap,1995
242,The Notebook,1995
243,Léon,1995
244,No Country for Old Men,1995
245,Steel Magnolias,1995
246,Ford v Ferrari,1995
247,The Departed,1995
248,Culpa mía,1995
249,Ordinary Angels,1995
250,Whiplash,1995
251,The Big Lebowski,2022
252,Apocalypse Now,2022
253,The Usual Suspects,2022
254,Mortal Kombat,2022
255,Scoop,2022
256,Megan Is Missing,2022
257,Top Gun,2022
258,Baby Driver,2022
259,Spaceman,2022
260,Braveheart,2022
261,Requiem for a Dream,2022
262,Hellboy,2022
263,La La Land,2022
264,Twilight,2022
265,Dead Poets Society,2022
266,Star Wars: Episode VIII - The Last Jedi,2022
267,Mean Girls,2022
268,The Watchers,2022
269,No Time to Die,2022
270,Guardians of the Galaxy Vol. 3,2022
271,Family Star,2022
272,Gummo,2022
273,Men,2022
274,The Strangers,2022
275,Ex Machina,2022
276,The Maze Runner,2022
277,You Should Have Left,2022
278,Horizon: An American Saga - Chapter 1,2022
279,Beetlejuice Beetlejuice,2022
280,Captain America: Brave New World,2022
281,Shrek,2022
282,Cash Out,2022
283,The Killing of a Sacred Deer,2022
284,Nope,2022
285,The Hateful Eight,2022
286,The Devil Wears Prada,2022
287,The Princess Bride,2022
288,Django Unchained,2022
289,Srpski film,2022
290,Hacksaw Ridge,2022
291,The Creator,2022
292,Pride & Prejudice,2022
293,Mortal Kombat 2,2022
294,Babylon,2022
295,Farming,2022
296,Pretty in Pink,2022
297,X-Men Origins: Wolverine,2022
298,John Wick,2022
299,Kill Bill: Vol. 1,2022
300,28 Days Later...,2022
301,Mandy,1997
302,A Quiet Place,1997
303,Five Nights at Freddy's,1997
304,Hidden,1997
305,Back to the Future,1997
306,Expend4bles,1997
307,Star Trek,1997
308,The Dark Knight Rises,1997
309,Anna,1997
310,The Prestige,1997
311,365 dni,1997
312,Get Out,1997
313,Ferrari,1997
314,Baghead,1997
315,X-Men,1997
316,Call Me by Your Name,1997
317,Little Women,1997
318,Reptile,1997
319,Hereditary,1997
320,The American Society of Magical Negroes,1997
321,Jeanne du Barry,1997
322,It,1997
323,The Dreamers,1997
324,Logan,1997
325,Amar Singh Chamkila,1997
326,The Super Mario Bros. Movie,1997
327,12 Angry Men,1997
328,Shahr zii aleasal,1997
329,"Crazy, Stupid, Love.",1997
330,Shiti Hanta,1997
331,Dazed and Confused,1997
332,The Magnificent Seven,1997
333,L.A. Confidential,1997
334,Winnie-the-Pooh: Blood and Honey 2,1997
335,The Menu,1997
336,Rush,1997
337,The Covenant,1997
338,Drive,1997
339,Avatar: The Way of Water,1997
340,MaXXXine,1997
341,Amadeus,1997
342,The Terminator,1997
343,Beneath the Planet of the Apes,1997
344,Boogie Nights,1997
345,Dungeons & Dragons: Honor Among Thieves,1997
346,The Blue Lagoon,1997
347,Bridge to Terabithia,1997
348,The Big Trail,1997
349,Prisoners,1997
350,Sicario,2023
351,The Contestant,2023
352,American Psycho,2023
353,Longlegs,2023
354,The Gray Man,2023
355,Fall,2023
356,From Dusk Till Dawn,2023
357,Cinderella,2023
358,The Godfather Part II,2023
359,Prometheus,2023
360,Moana 2,2023
361,Firebrand,2023
362,Free Guy,2023
363,Eternal Sunshine of the Spotless Mind,2023
364,The Dry,2023
365,One Day,2023
366,Love & Other Drugs,2023
367,"Girl, Interrupted",2023
368,Godzilla vs. Kong,2023
369,Asteroid City,2023
370,The Lion King,2023
371,Oldeuboi,2023
372,Don't Worry Darling,2023
373,Lift,2023
374,Beetlejuice,2023
375,Pitch Perfect,2023
376,Night Swim,2023
377,Cars,2023
378,Arrival,2023
379,Shutter Island,2023
380,Tombstone,2023
381,Upgraded,2023
382,Kimitachi wa dô ikiru ka,2023
383,Ready Player One,2023
384,Moonfall,2023
385,Gran Turismo,2023
386,Transformers One,2023
387,Fast X,2023
388,Bloodline Killer,2023
389,Sen to Chihiro no kamikakushi,2023
390,Cuando acecha la maldad,2023
391,300,2023
392,Spider-Man,2023
393,Blade Runner,2023
394,Fabbricante di lacrime,2023
395,The Lobster,2023
396,Secrets of the Neanderthals,2023
397,Girl in the Basement,2023
398,Red Eye,2023
399,Romeo + Juliet,2024
400,Transformers: Rise of the Beasts,2024
401,The Flash,2024
402,Eyes Wide Shut,2024
403,Stand by Me,2024
404,The Killer,2024
405,Trolls Band Together,2024
406,Mothers' Instinct,2024
407,Memento,2024
408,La passion de Dodin Bouffant,2024
409,The Help,2024
410,Cidade de Deus,2024
411,May December,2024
412,Snatch,2024
413,The Suicide Squad,2024
414,Happy Gilmore,2024
415,Indiana Jones and the Dial of Destiny,2024
416,Bram Stoker's Dracula,2024
417,Transformers,2024
418,Once Upon a Time in America,2024
419,Les trois mousquetaires : Milady,2024
420,La sociedad de la nieve,2024
421,Aku wa sonzai shinai,2024
422,Scarface,2024
423,Priscilla,2024
424,Hidden Figures,2024
425,The Great Gatsby,2024
426,Wildcat,2024
427,Drive-Away Dolls,2024
428,The Passion of the Christ,2024
429,Michael,2024
430,Sei nell'anima,2024
431,Terminator 2: Judgment Day,2024
432,Aavesham,2024
433,The Little Things,2024
434,The Equalizer 2,2024
435,Jaws,2024
436,The Nice Guys,2024
437,The Lost Boys,2024
438,The Lighthouse,2024
439,Thanksgiving,2024
440,The Age of Adaline,2024
441,Beverly Hills Cop,2024
442,Bones and All,2024
443,Doctor Strange in the Multiverse of Madness,2024
444,She's Out of My League,2024
445,The Shining,2024
446,The Pianist,2024
447,After,2024
448,Pretty Woman,2024
449,Smile,1985
450,Die Hard,1985
451,The Martian,1985
452,The Truman Show,1985
453,Love Actually,1985
454,Salò o le 120 giornate di Sodoma,1985
455,Brokeback Mountain,1985
456,Saw X,1985
457,American Pie,1985
458,Guardians of the Galaxy,1985
459,Taxi Driver,1985
460,Unfaithful,1985
461,Margin Call,1985
462,Lola,1985
463,X: First Class,1985
464,Empire of the Sun,1985
465,Meg 2: The Trench,1985
466,Descendants: The Rise of Red,1985
467,The Big Short,1985
468,Divergent,1985
469,The Marvels,1985
470,Grown Ups,1985
471,Damaged,1985
472,All Good Things,1985
473,Baywatch,1985
474,Thor: Love and Thunder,1985
475,Godzilla,1985
476,The Little Mermaid,1985
477,Havoc,1985
478,Black Swan,1985
479,The King's Man,1985
480,The Northman,1985
481,Crew,1985
482,The Breakfast Club,1985
483,Highlander,1985
484,The Sixth Sense,1985
485,Harry Potter and the Goblet of Fire,1985
486,Batman Begins,1985
487,Fair Play,1985
488,Mulholland Dr.,1985
489,A Clockwork Orange,1985
490,X-Men: Days of Future Past,1985
491,Airplane!,1985
492,American History X,1985
493,The Greatest Showman,1985
494,Vash,1985
495,Knox Goes Away,1985
496,Almost Famous,1985
497,Fly Me to the Moon,1985
498,One Flew Over the Cuckoo's Nest,1985
499,Ah-ga-ssi,2007
500,Nymphomaniac: Vol. I,2007
501,Jumanji: Welcome to the Jungle,2007
502,The Running Man,2007
503,The Last Duel,2007
504,The Fallout,2007
505,Solo: A Star Wars Story,2007
506,Green Book,2007
507,Avengers: Infinity War,2007
508,Sound of Freedom,2007
509,Donnie Darko,2007
510,North by Northwest,2007
511,Lolita,2007
512,A Beautiful Mind,2007
513,Glass Onion,2007
514,Mad Max Beyond Thunderdome,2007
515,Kingsman: The Secret Service,2007
516,Kung Fu Panda,2007
517,Bound by Honor,2007
518,Knives Out,2007
519,Ocean's Eight,2007
520,Incendies,2007
521,Kaibutsu,2007
522,How to Have Sex,2007
523,The VVitch: A New-England Folktale,2007
524,Army of the Dead,2007
525,Inside Out,2007
526,"Il buono, il brutto, il cattivo",2007
527,Wrath of Man,2007
528,Pearl Harbor,2007
529,The Conjuring,2007
530,Totally Killer,2007
531,2001: A Space Odyssey,2007
532,Superbad,2007
533,The Hangover,2007
534,Harry Potter and the Deathly Hallows - Part 2,2007
535,Asphalt City,2007
536,Ratatouille,2007
537,Lady Bird,2007
538,Tenet,2007
539,Idi i smotri,2007
540,A League of Their Own,2007
541,Weird Science,2007
542,Lost in Translation,2007
543,X-Men: The Last Stand,2007
544,Moana,2007
545,The Family Plan,2007
546,Ferris Bueller's Day Off,2007
547,Jumanji,2007
548,The Last Voyage of the Demeter,2007
549,Kraven the Hunter,1991
550,Breathe,1991
551,Blink Twice,1991
552,Alien: Covenant,1991
553,Fiesta en la madriguera,1991
554,BlackBerry,1991
555,The Lion King,1991
556,Miss Peregrine's Home for Peculiar Children,1991
557,Emma.,1991
558,Scream VI,1991
559,(500) Days of Summer,1991
560,Iron Man,1991
561,Sting,1991
562,Les Misérables,1991
563,Men in Black,1991
564,Suicide Squad,1991
565,X-Men: Apocalypse,1991
566,Thelma,1991
567,RoboCop,1991
568,The Hobbit: An Unexpected Journey,1991
569,We're the Millers,1991
570,Strays,1991
571,Captain America: The First Avenger,1991
572,Darkness of Man,1991
573,Underworld,1991
574,Avatar,1991
575,The Girl Next Door,1991
576,28 Years Later,1991
577,Ocean's Eleven,1991
578,Apocalypto,1991
579,The Virgin Suicides,1991
580,Pirates of the Caribbean: Dead Men Tell No Tales,1991
581,La vie d'Adèle,1991
582,Point Break,1991
583,Les trois mousquetaires : D'Artagnan,1991
584,Three Amigos!,1991
585,Harry Potter and the Prisoner of Azkaban,1991
586,Three Thousand Years of Longing,1991
587,The Revenant,1991
588,Next Goal Wins,1991
589,Don't Look Up,1991
590,Taken,1991
591,1917,1991
592,Shin Gojira,1991
593,Teenage Mutant Ninja Turtles: Mutant Mayhem,1991
594,Sing 2,1991
595,The Avengers,1991
596,Fighter,1991
597,La vita è bella,1991
