user_id,book_id,rating,reading_date
1,588,6.0,
1,6,2.0,
1,1161,8.0,
1,2759,6.0,
1,3316,2.0,2025-04-07
1,6789,8.0,2023-09-19
1,3051,5.0,
1,1423,8.0,2025-06-24
1,2157,1.0,2025-08-25
1,3019,3.0,2023-02-10
1,5103,5.0,
1,4922,,
1,768,1.0,2024-06-06
1,2277,5.0,2025-11-26
1,2919,10.0,2025-12-21
1,4546,8.0,
1,3420,4.0,2025-05-31
1,2001,8.0,2024-06-11
2,6782,5.0,
2,2313,4.0,
2,2693,2.0,2021-03-18
2,1549,6.0,
2,6291,5.0,2017-06-09
2,5763,1.0,
2,2898,4.0,2018-07-23
2,2066,1.0,2022-11-24
2,6741,4.0,
2,2360,5.0,
2,1757,6.0,
2,1609,3.0,2021-11-06
2,2613,10.0,
2,2116,6.0,
2,5754,5.0,2025-12-20
2,2853,4.0,2025-01-08
2,2740,4.0,
2,3806,,2021-06-29
2,6254,3.0,
2,593,2.0,
2,4863,7.0,2018-12-16
2,2525,10.0,2020-07-02
2,2022,5.0,
2,4341,10.0,
2,4312,2.0,
2,4528,4.0,
2,6750,4.0,2023-11-18
2,5576,3.0,2019-11-26
2,3788,4.0,
2,3936,8.0,2025-05-04
2,1151,,
2,4928,9.0,2018-05-22
2,5602,10.0,2017-10-13
2,5012,10.0,
2,4149,3.0,2025-10-10
2,3762,1.0,
2,5125,6.0,
2,3721,9.0,2023-09-01
2,1928,,2018-09-28
2,4928,1.0,2022-08-14
2,1448,7.0,
2,6159,1.0,2023-12-26
2,1039,8.0,
2,3963,9.0,2020-11-29
2,2767,5.0,2020-10-06
2,3943,1.0,
2,2071,9.0,2018-11-19
2,1720,3.0,
2,2345,6.0,2022-04-19
2,4243,4.0,
2,5544,6.0,
2,473,9.0,
2,6695,1.0,2023-09-18
2,2654,8.0,
2,2056,4.0,
2,769,1.0,2017-10-16
2,959,6.0,2022-01-04
2,2116,5.0,
2,1675,7.0,2021-05-27
2,392,7.0,2020-06-17
2,4370,9.0,
2,3978,5.0,2024-05-26
2,3479,9.0,
2,2197,4.0,2020-07-27
2,4267,2.0,
2,6073,5.0,2018-09-08
3,3353,8.0,
3,3352,1.0,
3,5472,8.0,
3,6801,7.0,
3,3851,8.0,
3,5306,4.0,2024-04-08
3,4829,10.0,2024-07-01
3,6584,9.0,
3,2718,4.0,2024-01-10
3,1859,6.0,
3,6717,2.0,2024-04-06
3,2361,5.0,2024-07-17
3,1509,8.0,
3,4688,6.0,
3,1849,1.0,
3,536,9.0,2024-07-12
3,5541,6.0,2024-09-29
3,4560,4.0,
3,95,3.0,2024-11-28
3,4022,8.0,
3,3517,,2024-06-21
3,278,6.0,
3,5520,7.0,
3,2138,2.0,2025-06-28
3,1172,9.0,
3,2572,4.0,
3,5934,3.0,2025-04-05
3,830,5.0,2025-03-27
3,6187,6.0,
3,1695,7.0,2024-07-12
3,5670,6.0,
3,1611,10.0,
3,2837,9.0,
3,2520,5.0,
3,2706,8.0,
3,2095,3.0,
3,4001,5.0,2024-05-01
3,3981,3.0,2024-10-03
3,3727,4.0,
4,5744,9.0,
4,2522,6.0,2022-01-08
4,4642,,
4,4706,8.0,2023-11-28
4,2098,5.0,2023-03-29
4,3596,,2021-02-08
4,2453,9.0,2021-09-30
4,6690,1.0,
4,68,5.0,
4,4086,7.0,2024-02-13
4,6083,6.0,2025-06-05
4,1384,4.0,
4,3436,5.0,
4,1135,10.0,
4,3558,3.0,2024-10-04
4,1118,1.0,2025-10-27
4,636,8.0,2021-04-24
4,6411,1.0,2022-11-06
4,744,7.0,
4,4676,1.0,2022-07-29
4,5971,8.0,2025-04-17
4,2160,2.0,
4,2988,2.0,
4,2336,9.0,
4,6751,2.0,
4,1668,10.0,2021-08-01
4,4199,5.0,
4,3205,1.0,
5,6771,7.0,2014-04-10
5,5904,3.0,
5,1843,2.0,
5,1290,9.0,2012-03-17
5,4201,8.0,2025-01-04
5,2483,4.0,2018-09-09
5,6165,2.0,2021-05-14
5,402,5.0,
5,2188,7.0,
5,3919,2.0,2023-05-11
5,1301,8.0,
5,342,6.0,2020-11-26
5,2867,,
5,6511,3.0,2016-03-02
5,6050,4.0,
5,1030,3.0,2025-09-28
5,4531,7.0,
5,4473,8.0,
5,6526,7.0,
5,4103,9.0,2020-03-22
5,318,2.0,
5,1277,7.0,
5,3716,9.0,2020-07-04
5,4287,10.0,2018-10-13
5,4230,9.0,2013-05-22
5,2983,4.0,2018-01-01
5,775,1.0,
5,6780,10.0,
5,3176,2.0,
5,4635,10.0,2020-01-15
5,243,3.0,
5,2897,8.0,
6,3317,4.0,
6,5901,,2016-07-29
6,4372,6.0,2016-12-02
6,3635,5.0,2022-02-09
6,2226,2.0,2025-11-28
6,1442,9.0,2017-11-14
6,2964,,2025-05-26
6,6713,1.0,
6,4236,9.0,2021-06-15
6,2155,9.0,
6,1190,5.0,2017-03-02
6,1854,2.0,
6,5180,1.0,2024-04-17
6,4105,10.0,
6,2552,,
6,5422,8.0,2017-09-30
6,1995,7.0,
6,581,8.0,2025-12-06
6,5278,6.0,
6,232,8.0,2025-09-14
6,4504,9.0,2017-06-08
6,6779,3.0,2016-03-09
6,2782,10.0,2023-12-28
6,893,,
6,3384,1.0,
6,879,9.0,
6,1439,1.0,
6,6462,9.0,2020-07-02
6,3476,7.0,2023-06-01
6,5724,5.0,2019-03-17
6,5591,4.0,2017-04-05
6,3189,5.0,2019-03-15
6,6218,9.0,
6,47,,2022-11-04
7,1160,7.0,2018-06-06
7,6560,2.0,
7,1799,2.0,2018-11-07
7,4172,8.0,
7,1265,5.0,2016-08-06
7,2512,,2013-02-10
7,3338,6.0,2016-07-07
7,5976,8.0,2014-11-07
7,5345,6.0,
7,1239,6.0,2014-02-20
7,4989,2.0,
8,3999,,
8,6340,6.0,
8,4099,5.0,2021-04-07
8,3405,7.0,2022-11-26
8,2310,2.0,
8,1498,3.0,2021-12-08
8,588,5.0,2020-03-15
9,3498,,
9,2846,10.0,
9,2045,9.0,2018-07-27
9,5374,8.0,
9,1600,5.0,
9,1726,5.0,2016-04-22
9,6414,10.0,
9,5080,,2015-01-27
9,2358,4.0,
9,6536,,
9,2803,3.0,
